2025-08-23 07:10:51,880 - root - INFO - Logging configured successfully.
2025-08-23 07:10:51,880 - __main__ - INFO - =================================
2025-08-23 07:10:51,880 - __main__ - INFO - Hydraulic Digital Twin Simulation
2025-08-23 07:10:51,881 - __main__ - INFO - =================================
2025-08-23 07:10:51,936 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.998, b1=0.100, delay=5
2025-08-23 07:10:51,937 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.999, b1=0.100, delay=5
2025-08-23 07:10:51,937 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.999, b1=0.100, delay=5
2025-08-23 07:10:51,938 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.000, b1=0.100, delay=5
2025-08-23 07:10:51,939 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.000, b1=0.100, delay=5
2025-08-23 07:10:51,939 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.001, b1=0.100, delay=5
2025-08-23 07:10:51,940 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.001, b1=0.100, delay=5
2025-08-23 07:10:51,941 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,941 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,942 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,942 - digital_twin_hydraulic_system.simulation_manager - INFO - T= 80.0s | dt=1.000s | h_upstream=2.576, h_gate_up=2.500
2025-08-23 07:10:51,943 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,944 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.003, b1=0.100, delay=5
2025-08-23 07:10:51,944 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.003, b1=0.100, delay=5
2025-08-23 07:10:51,945 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.003, b1=0.100, delay=5
2025-08-23 07:10:51,946 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.003, b1=0.100, delay=5
2025-08-23 07:10:51,947 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.003, b1=0.100, delay=5
2025-08-23 07:10:51,947 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,948 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,949 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,949 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,950 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.001, b1=0.100, delay=5
2025-08-23 07:10:51,951 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.001, b1=0.100, delay=5
2025-08-23 07:10:51,952 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.001, b1=0.100, delay=5
2025-08-23 07:10:51,952 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.000, b1=0.100, delay=5
2025-08-23 07:10:51,953 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.000, b1=0.100, delay=5
2025-08-23 07:10:51,954 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.999, b1=0.100, delay=5
2025-08-23 07:10:51,955 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.999, b1=0.100, delay=5
2025-08-23 07:10:51,955 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.999, b1=0.100, delay=5
2025-08-23 07:10:51,956 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.999, b1=0.100, delay=5
2025-08-23 07:10:51,957 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.998, b1=0.100, delay=5
2025-08-23 07:10:51,957 - digital_twin_hydraulic_system.simulation_manager - INFO - T=100.0s | dt=1.000s | h_upstream=2.580, h_gate_up=2.500
2025-08-23 07:10:51,958 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.998, b1=0.100, delay=5
2025-08-23 07:10:51,959 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.998, b1=0.100, delay=5
2025-08-23 07:10:51,959 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.998, b1=0.100, delay=5
